artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Arctic Monkeys,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,0.136,0.464,183956,0.417,0.022,0,0.0974,-9.345,0,0.0256,67.528,4,0.479,94
YG Marley,3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,0.128,0.66,263040,0.727,1.31e-05,6,0.524,-4.028,0,0.0441,125.023,4,0.418,93
Dua Lipa,4OMJGnvZfDvsePyCwRGO7X,Houdini,0.0036,0.744,185918,0.789,0.00144,9,0.0947,-4.876,0,0.059,116.985,4,0.866,93
Myke Towers,7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,0.372,0.8,174230,0.738,0.00877,7,0.19,-4.26,1,0.0691,103.008,4,0.267,93
Ariana Grande,6XXKB32Om6WuXg3uEWwTob,imperfect for you,0.505,0.635,182567,0.389,0.0,4,0.433,-7.413,1,0.0333,150.116,3,0.24,84
Xavi,5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,0.152,0.778,156346,0.835,0.0,11,0.109,-3.598,0,0.0767,140.082,4,0.666,93
Tyla,5aIVCx5tnk0ntmdiinnYvw,Water,0.0856,0.673,200256,0.722,0.0,3,0.137,-3.495,0,0.0755,117.187,4,0.519,93
Dua Lipa,6Qb7YsAqH4wWFUMbGsCpap,Training Season,0.0365,0.815,209488,0.582,1.45e-06,5,0.138,-4.5,0,0.0532,123.03,4,0.671,91
Bad Bunny,7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,0.0887,0.911,162768,0.778,2.16e-05,5,0.179,-2.248,1,0.262,96.057,4,0.345,93
Billie Eilish,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",0.959,0.444,222370,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142,93
Kenya Grace,5mjYQaktjmjcMKcUIcqz4s,Strangers,0.701,0.628,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416,93
Lord Huron,0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,0.969,0.545,208212,0.366,0.267,2,0.641,-9.51,1,0.0378,86.997,3,0.1,81
Jung Kook,2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),0.312,0.79,183551,0.831,0.0,11,0.0797,-4.185,1,0.044,124.987,4,0.872,87
Bryson Tiller,57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,0.102,0.82,161342,0.487,0.0,9,0.0803,-7.358,0,0.0959,96.028,4,0.431,89
Miley Cyrus,7DSAEUvxU8FajXtRloy8M0,Flowers,0.0584,0.706,200600,0.691,6.99e-05,0,0.0232,-4.775,1,0.0633,118.048,4,0.632,93
KAROL G,5RqSsdzTNPX1uzkmlHCFvK,QLONA,0.52,0.841,172798,0.738,0.0,7,0.0892,-7.455,0,0.307,169.918,4,0.484,91
The Weeknd,7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),0.0604,0.854,215467,0.668,8.39e-05,1,0.382,-6.243,1,0.2,99.018,4,0.833,85
Zach Bryan,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),0.554,0.429,227196,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155,92
The Weeknd,7MXVkk9YMctZqd1Srtv4MB,Starboy,0.141,0.679,230453,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486,92
Ariana Grande,13jRSCLoWbCoU1XEdJRbgn,Saturn Returns Interlude,0.892,0.513,42167,0.366,0.000255,9,0.148,-13.363,1,0.117,124.44,5,0.938,83
Olivia Rodrigo,1kuGVB7EU95pJObxwvfwKS,vampire,0.177,0.511,219724,0.532,0.0,5,0.291,-5.745,1,0.0578,138.005,4,0.35,93
Ariana Grande,4mHM5d2fK3n8xgymjf92w2,ordinary things (feat. Nonna),0.713,0.7,168500,0.544,0.0,6,0.319,-8.243,1,0.0729,114.971,4,0.29,83
V,0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,0.0315,0.466,148082,0.601,0.0,8,0.0927,-4.468,1,0.053,53.376,4,0.627,79
Natanael Cano,5LhI8m7n8xlQmNe3b7Rwis,Madonna,0.0449,0.732,187088,0.873,0.000803,0,0.347,-5.965,1,0.0321,128.029,3,0.662,84
Michael Marcagi,3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,0.384,0.527,159636,0.551,2.75e-06,7,0.403,-11.258,1,0.0345,148.035,4,0.443,90
Maluma,4bw8mcDUSRWfQo63ZTYRnU,Según Quién,0.434,0.909,142335,0.762,0.0,9,0.0856,-3.974,1,0.0643,101.987,3,0.843,88
Jung Kook,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,0.0447,0.711,206020,0.809,0.0,2,0.339,-4.389,0,0.0955,106.017,4,0.816,93
Zeynep Bastık,1whKKdtCiFjN7MW7DrIRUH,Lan,0.497,0.406,196075,0.622,1.35e-05,3,0.309,-7.647,0,0.0648,204.028,4,0.567,76
Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,0.0025,0.629,212241,0.733,0.0,7,0.357,-5.445,1,0.0419,120.001,4,0.362,91
Calle 24,6uIIdjYTxxpWOyWuVXrKQO,Que Onda,0.183,0.808,191467,0.944,1.11e-06,10,0.138,-4.863,0,0.0408,124.934,3,0.937,91
Doja Cat,56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,0.255,0.864,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726,84
SZA,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,0.0521,0.644,153947,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,4,0.418,88
Harry Styles,4Dvkj6JhhA12EX05fT7y2e,As It Was,0.342,0.52,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662,92
Eslabon Armado,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,0.483,0.668,165671,0.758,1.89e-05,5,0.0837,-5.176,0,0.0332,147.989,3,0.834,81
Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),0.417,0.715,221520,0.62,0.0,1,0.0822,-6.005,0,0.0484,97.95,4,0.172,89
Rema,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),0.429,0.799,239318,0.802,0.00128,11,0.171,-5.196,1,0.0371,107.008,4,0.811,79
Bizarrap,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",0.274,0.778,218289,0.632,0.0,2,0.0915,-5.6,0,0.0493,122.104,4,0.498,82
Taylor Swift,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,0.13,0.637,200690,0.643,1.8e-06,4,0.142,-6.571,1,0.0519,97.008,4,0.533,91
KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,TQG,0.673,0.72,199440,0.63,0.0,4,0.0936,-3.547,0,0.277,179.974,4,0.607,86
Yng Lvcas,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,0.213,0.812,234353,0.479,1.21e-06,2,0.0756,-5.678,0,0.333,169.922,4,0.559,87
David Guetta,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),0.00383,0.561,175238,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304,90
The Weeknd,2LBqCSwhJGcFQeTHMVGwy3,Die For You,0.111,0.586,260253,0.525,0.0,1,0.134,-7.163,0,0.0615,133.629,4,0.508,88
Grupo Frontera,2yzshFeBIwH8tWIqHEFLeD,un x100to,0.213,0.571,194563,0.72,0.0,9,0.271,-4.089,1,0.0458,83.827,4,0.542,83
Sam Smith,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),0.011,0.712,156943,0.463,2.96e-06,2,0.301,-7.399,1,0.0797,131.199,4,0.206,79
Manuel Turizo,3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,0.583,0.835,162638,0.679,1.98e-06,7,0.218,-5.329,0,0.0364,124.98,4,0.85,86
PinkPantheress,5CCr8msaN3MhgqBoa9yWhH,Boy's a liar Pt. 2,0.252,0.696,131013,0.809,0.000128,5,0.248,-8.254,1,0.05,132.962,4,0.857,76
David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,0.83,0.508,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324,92
Tom Odell,3JvKfv6T31zO0ini8iNItO,Another Love,0.695,0.445,244360,0.537,1.65e-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131,90
Yandel,4FAKtPVycI4DxoOHC01YqD,Yandel 150,0.0492,0.783,216148,0.729,0.000272,6,0.1,-3.549,0,0.0691,167.968,4,0.58,79
FIFTY FIFTY,739WUU1tPFLO4x4HJq561K,Cupid - Twin Ver.,0.435,0.783,174253,0.592,4.15e-06,11,0.347,-8.332,0,0.0331,120.018,4,0.726,77
The Weeknd,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,0.227,0.575,232857,0.5,0.0,1,0.335,-7.594,0,0.0707,67.033,4,0.506,83
OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,0.0826,0.704,148486,0.797,0.000745,0,0.0546,-5.927,1,0.0475,139.994,4,0.825,90
d4vd,5LrN7yUQAzvthd4QujgPFr,Here With Me,0.544,0.571,242485,0.458,9.27e-05,4,0.123,-9.283,1,0.0258,132.025,4,0.299,88
Morgan Wallen,7K3BhSpAxZBznislvUMVtn,Last Night,0.467,0.492,163855,0.675,0.0,6,0.142,-5.456,1,0.0389,203.759,4,0.478,85
JVKE,5odlY52u43F5BjByhxg7wg,golden hour,0.653,0.515,209260,0.593,0.162,4,0.25,-4.801,1,0.0322,94.467,3,0.153,82
Stephen Sanchez,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,0.777,0.551,176440,0.55,0.0,10,0.202,-5.339,1,0.0286,101.19,3,0.342,88
Myke Towers,7ABLbnD53cQK00mhcaOUVG,LALA,0.0739,0.708,197920,0.737,0.00162,1,0.0955,-4.045,1,0.0436,91.986,4,0.607,89
Bizarrap,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",0.0125,0.621,198938,0.782,0.033,2,0.23,-5.548,1,0.044,128.033,4,0.55,85
Ozuna,1zsPaEkglFvxjAhrM8yhpr,Hey Mor,0.00302,0.901,196600,0.589,0.000237,1,0.0992,-6.713,0,0.289,98.002,4,0.399,84
Feid,6XSqqQIy7Lm7SnwxS4NrGx,CLASSY 101,0.145,0.859,195987,0.658,0.0,11,0.12,-4.79,1,0.159,100.065,4,0.672,82
The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,0.0495,0.612,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398,90
SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,0.141,0.559,201800,0.551,0.0,5,0.11,-7.231,1,0.132,143.008,4,0.392,92
Taylor Swift,1p80LdxRV74UKvL8gnD7ky,Blank Space,0.085,0.753,231827,0.678,1.64e-06,5,0.13,-5.421,1,0.0644,96.006,4,0.583,75
The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,0.00146,0.514,200040,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334,91
Bad Bunny,2sTDlCxmuZCTDKKk9f1qus,WHERE SHE GOES,0.143,0.651,231704,0.799,0.634,9,0.112,-4.02,0,0.0611,143.992,4,0.223,78
Eminem,561jH07mF1jHuk7KlaeF0s,Mockingbird,0.209,0.637,250760,0.678,0.0,0,0.156,-3.798,1,0.266,84.039,4,0.254,88
RAYE,5mHdCZtVyb4DcJw8799hZp,Escapism.,0.138,0.538,272373,0.742,4.67e-05,2,0.0934,-5.355,1,0.114,96.107,4,0.25,84
Peso Pluma,0cNSq9T5l8gZnpY14rsTR2,PRC,0.0965,0.784,184066,0.826,7.09e-05,7,0.123,-6.34,0,0.0538,138.078,3,0.893,77
"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),0.371,0.558,180387,0.559,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,0.62,90
Bad Bunny,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,0.0901,0.911,178567,0.712,2.68e-05,1,0.0933,-5.105,0,0.0817,92.005,4,0.425,87
NewJeans,65FftemJ1DbbZ45DUfHJXE,OMG,0.357,0.804,212253,0.771,3.07e-06,9,0.108,-4.067,0,0.0433,126.956,4,0.739,83
Natanael Cano,0FxtC8uFapbpDBliAU3sd6,AMG,0.152,0.772,174943,0.73,0.000107,11,0.274,-6.657,0,0.0972,136.175,3,0.786,75
d4vd,1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,0.453,0.571,132631,0.544,0.00805,6,0.322,-10.613,1,0.0299,132.052,4,0.216,89
Harry Styles,4LRPiXqCikLlN15c3yImP7,As It Was,0.342,0.52,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662,28
Steve Lacy,4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,0.613,0.686,232067,0.494,5.8e-05,1,0.402,-7.093,1,0.0355,168.946,4,0.7,81
The Weeknd,0mL82sxCRjrs3br407IdJh,Is There Someone Else?,0.0388,0.702,199111,0.586,7.27e-05,9,0.156,-7.83,0,0.0313,134.951,4,0.608,86
Jack Harlow,1rDQ4oMwGJI7B4tovsBOxc,First Class,0.0254,0.905,173948,0.563,9.71e-06,8,0.113,-6.135,1,0.102,106.998,4,0.324,12
Beyoncé,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,0.0368,0.78,225389,0.689,9.69e-06,7,0.0698,-5.668,1,0.141,115.042,4,0.642,83
Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,0.0993,0.65,243717,0.715,0.000291,5,0.126,-5.198,0,0.253,106.672,4,0.187,84
Sam Smith,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),0.013,0.714,156943,0.472,4.51e-06,2,0.266,-7.375,1,0.0864,131.121,4,0.238,82
Kate Bush,29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,0.659,0.625,300840,0.533,0.00266,10,0.0546,-11.903,0,0.0596,108.296,4,0.139,6
Glass Animals,02MWAaffLxlfxAUY7c5dvx,Heat Waves,0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,17
Joji,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,0.891,0.44,233456,0.317,4.78e-06,8,0.141,-9.258,1,0.0531,169.914,3,0.268,81
Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,Shivers,0.281,0.788,207853,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822,85
Harry Styles,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,0.298,0.714,177955,0.728,0.0,10,0.106,-4.595,1,0.0468,114.996,4,0.901,83
Charlie Puth,0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),0.619,0.881,154487,0.592,1.32e-05,2,0.0901,-4.898,1,0.0324,101.058,4,0.719,75
Justin Bieber,6I3mqTwhRpn34SLVafSH7G,Ghost,0.185,0.601,153190,0.741,2.91e-05,2,0.415,-5.569,1,0.0478,153.96,4,0.441,88
Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,0.00614,0.737,143901,0.846,0.0,1,0.0486,-4.51,0,0.22,87.981,4,0.546,80
Lizzo,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,0.0995,0.836,191822,0.743,0.0,10,0.335,-6.305,0,0.0656,108.966,4,0.722,75
Taylor Swift,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,0.258,0.733,202396,0.436,0.000573,10,0.157,-10.489,1,0.08,96.985,4,0.0976,82
Anitta,3IAfUEeaXRX9s9UdKOJrFI,Envolver,0.152,0.812,193806,0.736,0.00254,4,0.0914,-5.421,0,0.0833,91.993,4,0.396,73
ROSALÍA,5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,0.184,0.919,157018,0.623,1.63e-05,7,0.0609,-6.521,1,0.0992,130.037,4,0.775,78
GAYLE,4fouWK6XVHhzl78KzQ1UjL,abcdefu,0.299,0.695,168602,0.54,0.0,4,0.367,-5.692,1,0.0493,121.932,4,0.415,78
Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,traitor,0.691,0.38,229227,0.339,0.0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849,87
The Weeknd,2SLwbpExuoBDZBpjfefCtV,Out of Time,0.255,0.65,214194,0.76,0.0,0,0.339,-4.422,0,0.0446,93.057,4,0.838,78
Drake,28JBD8p18xNuOfyV7Cotdn,Massive,0.114,0.499,336924,0.671,0.0169,4,0.148,-6.774,0,0.0561,124.994,3,0.0557,70
Elton John,7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,0.0354,0.795,202735,0.8,7.25e-05,1,0.0915,-6.32,1,0.0309,116.032,4,0.934,71
Nicki Minaj,4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,0.0645,0.95,170977,0.891,1.77e-05,2,0.309,-2.653,1,0.241,133.01,4,0.912,74
Dove Cameron,59CfNbkERJ3NoTXDvoURjj,Boyfriend,0.232,0.345,153000,0.612,0.0,7,0.194,-6.543,0,0.0608,179.773,3,0.232,77
BLACKPINK,0skYUMpS0AcbpjcGsAbRGj,Pink Venom,0.0202,0.798,186964,0.697,0.0,0,0.259,-7.139,1,0.0891,90.031,4,0.745,70
Lil Nas X,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),0.0203,0.736,212000,0.704,0.0,3,0.0501,-7.409,0,0.0615,149.995,4,0.894,78
SZA,34ZAzO78a5DAVNrYIGWcPm,Shirt,0.146,0.824,181831,0.453,0.0273,3,0.0896,-9.604,0,0.0968,119.959,4,0.552,70
Chris Brown,5IgjP7X4th6nMNDh4akUHb,Under The Influence,0.0635,0.733,184613,0.69,1.18e-06,9,0.105,-5.529,0,0.0427,116.992,4,0.31,85
Camila Cabello,2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),0.182,0.756,206071,0.697,0.0,8,0.333,-6.377,1,0.0401,94.996,4,0.956,74
Manuel Turizo,5ww2BF9slyYgNOk37BlC4u,La Bachata,0.583,0.835,162638,0.679,1.98e-06,7,0.218,-5.329,0,0.0364,124.98,4,0.85,83
KAROL G,7dSZ6zGTQx66c2GF91xCrb,PROVENZA,0.656,0.87,210200,0.516,0.00823,1,0.11,-8.006,1,0.0541,111.005,4,0.53,77
Elley Duhé,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,0.0228,0.41,184448,0.611,0.0,4,0.116,-8.271,0,0.0467,185.727,3,0.0899,80
Imagine Dragons,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,0.237,0.728,173381,0.783,0.0,11,0.434,-4.424,0,0.266,77.011,4,0.555,78
Drake,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),0.000307,0.529,218365,0.673,2.41e-06,0,0.093,-4.711,1,0.175,165.921,4,0.366,87
Post Malone,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),0.121,0.733,192841,0.67,0.0,5,0.121,-6.009,1,0.0751,100.964,4,0.472,82
Adele,3Kkjo3cT83cw09VJyrLNwX,Oh My God,0.091,0.534,225149,0.725,0.0,1,0.0264,-3.906,1,0.046,88.098,4,0.55,78
Carolina Gaitán - La Gaita,52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,0.357,0.577,216120,0.45,0.0,0,0.111,-8.516,0,0.0834,205.863,4,0.83,76
Cris Mj,1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,0.0924,0.87,153750,0.548,4.6e-05,10,0.0534,-5.253,0,0.077,96.018,4,0.832,16
Labrinth,76YSWx6L6FNsuaP6GWBb8P,All For Us,0.0108,0.46,191710,0.66,0.000139,3,0.34,-6.642,1,0.0652,141.722,4,0.18,73
Lost Frequencies,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,0.515,0.671,148197,0.636,0.000411,6,0.172,-8.117,0,0.103,120.966,4,0.262,81
Nicky Youre,3RfTeIrWS8LNrfHYwechtt,Sunroof,0.35,0.768,163026,0.716,0.0,10,0.15,-5.11,1,0.0404,131.43,4,0.841,1
Lil Nas X,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),0.148,0.637,210576,0.715,0.0,2,0.0892,-4.971,0,0.0455,141.872,4,0.308,77
Jaymes Young,1SOClUWhOi8vHZYMz3GluK,Infinity,0.148,0.671,237720,0.673,5.29e-05,11,0.304,-6.941,0,0.0444,121.963,4,0.494,82
Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,good 4 u,0.335,0.563,178147,0.664,0.0,9,0.0849,-5.044,1,0.154,166.928,4,0.688,86
Becky G,1ri9ZUkBJVFUdgwzCnfcYs,MAMIII,0.0934,0.843,226088,0.7,0.0,4,0.14,-3.563,0,0.0803,93.991,4,0.899,74
The Weeknd,1nH2PkJL1XoUq8oE6tBZoU,Sacrifice,0.0296,0.735,188918,0.795,3.18e-05,11,0.0678,-6.523,0,0.113,122.0,4,0.905,74
Megan Thee Stallion,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,0.167,0.814,201334,0.628,0.0,7,0.101,-7.178,1,0.221,123.977,4,0.677,72
Bad Bunny,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,0.08,0.647,258299,0.686,1.34e-06,3,0.528,-5.745,0,0.0413,79.928,4,0.268,85
Adele,46IZ0fSY2mpAiktS3KOqds,Easy On Me,0.578,0.604,224695,0.366,0.0,5,0.133,-7.519,1,0.0282,141.981,4,0.13,82
Rihanna,35ovElsgyAtQwYPYnZJECg,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,0.899,0.247,196520,0.299,0.0,9,0.131,-6.083,1,0.0315,177.115,4,0.172,74
Taylor Swift,1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),0.69,0.663,256124,0.319,0.000993,9,0.117,-13.481,1,0.0375,109.957,4,0.193,75
Post Malone,00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),0.0361,0.687,193507,0.781,0.0,1,0.0755,-4.806,1,0.053,97.014,4,0.688,73
